PUBCHEM.COMPOUND:456255,MONDO:0021680
PUBCHEM.COMPOUND:4583,MONDO:0005247
PUBCHEM.COMPOUND:2082,MONDO:0019444
PUBCHEM.COMPOUND:4583,MONDO:0024355
PUBCHEM.COMPOUND:4583,MONDO:0005972
PUBCHEM.COMPOUND:9782,MONDO:0011786
PUBCHEM.COMPOUND:456255,MONDO:0020920
PUBCHEM.COMPOUND:9782,MONDO:0006608
PUBCHEM.COMPOUND:38103,MONDO:0002258
PUBCHEM.COMPOUND:4485,MONDO:0001134
PUBCHEM.COMPOUND:51039,MONDO:0005230
PUBCHEM.COMPOUND:9782,MONDO:0005185
PUBCHEM.COMPOUND:5865,MONDO:0000870
PUBCHEM.COMPOUND:2726,MONDO:0011295
CHEMBL.COMPOUND:CHEMBL1481,MONDO:0012818
PUBCHEM.COMPOUND:6741,MONDO:0006554
PUBCHEM.COMPOUND:2662,MONDO:0011923
PUBCHEM.COMPOUND:2710,MONDO:0005324
PUBCHEM.COMPOUND:5743,MONDO:0004967
PUBCHEM.COMPOUND:456255,MONDO:0005545
PUBCHEM.COMPOUND:5591,MONDO:0010894
PUBCHEM.COMPOUND:38103,MONDO:0009813
PUBCHEM.COMPOUND:456255,MONDO:0005970
PUBCHEM.COMPOUND:5743,MONDO:0006670
PUBCHEM.COMPOUND:126941,MONDO:0018874
PUBCHEM.COMPOUND:441199,MONDO:0006816
PUBCHEM.COMPOUND:60149,MONDO:0011307
PUBCHEM.COMPOUND:5865,MONDO:0005306
PUBCHEM.COMPOUND:5073,MONDO:0012054
PUBCHEM.COMPOUND:2082,MONDO:0005996
PUBCHEM.COMPOUND:456255,MONDO:0005229
PUBCHEM.COMPOUND:4583,MONDO:0004264
PUBCHEM.COMPOUND:9782,MONDO:0008728
PUBCHEM.COMPOUND:6741,MONDO:0007243
PUBCHEM.COMPOUND:3878,MONDO:0005384
PUBCHEM.COMPOUND:5503,MONDO:0011667
PUBCHEM.COMPOUND:3394,MONDO:0005178
PUBCHEM.COMPOUND:5591,MONDO:0007453
PUBCHEM.COMPOUND:2726,MONDO:0013498
PUBCHEM.COMPOUND:4912,MONDO:0012893
PUBCHEM.COMPOUND:4921,MONDO:0008143
PUBCHEM.COMPOUND:5754,MONDO:0005984
PUBCHEM.COMPOUND:31307,MONDO:0019558
PUBCHEM.COMPOUND:3478,MONDO:0011668
PUBCHEM.COMPOUND:5591,MONDO:0013242
PUBCHEM.COMPOUND:2726,MONDO:0011280
PUBCHEM.COMPOUND:5503,MONDO:0014674
PUBCHEM.COMPOUND:9782,MONDO:0013108
PUBCHEM.COMPOUND:5865,MONDO:0007817
PUBCHEM.COMPOUND:5743,MONDO:0005615
PUBCHEM.COMPOUND:5865,MONDO:0012105
PUBCHEM.COMPOUND:38103,MONDO:0001039
PUBCHEM.COMPOUND:126941,MONDO:0008903
PUBCHEM.COMPOUND:9782,MONDO:0010273
PUBCHEM.COMPOUND:5282411,MONDO:0005709
PUBCHEM.COMPOUND:3690,MONDO:0004948
PUBCHEM.COMPOUND:5865,MONDO:0000607
PUBCHEM.COMPOUND:3446,MONDO:0000675
PUBCHEM.COMPOUND:4583,MONDO:0005297
PUBCHEM.COMPOUND:2082,MONDO:0005654
PUBCHEM.COMPOUND:4583,MONDO:0005619
PUBCHEM.COMPOUND:444008,MONDO:0008159
PUBCHEM.COMPOUND:5865,MONDO:0011849
PUBCHEM.COMPOUND:5743,MONDO:0018479
PUBCHEM.COMPOUND:4583,MONDO:0005246
PUBCHEM.COMPOUND:126941,MONDO:0004638
PUBCHEM.COMPOUND:9782,MONDO:0015898
PUBCHEM.COMPOUND:5865,MONDO:0004126
PUBCHEM.COMPOUND:5388906,MONDO:0005861
PUBCHEM.COMPOUND:2726,MONDO:0005618
PUBCHEM.COMPOUND:5743,MONDO:0021166
PUBCHEM.COMPOUND:6741,MONDO:0006545
